house_number,addition,street
41,a,Georg-Hermann-Allee
41,b,Georg-Hermann-Allee
98,,Georg-Hermann-Allee
98,a,Georg-Hermann-Allee
98,b,Georg-Hermann-Allee
98,c,Georg-Hermann-Allee
99,,Georg-Hermann-Allee
101,,Georg-Hermann-Allee
103,,Georg-Hermann-Allee
105,,Georg-Hermann-Allee
107,,Georg-Hermann-Allee
109,,Georg-Hermann-Allee
111,,Georg-Hermann-Allee
113,,Georg-Hermann-Allee
115,,Georg-Hermann-Allee
117,,Georg-Hermann-Allee
118,,Georg-Hermann-Allee
119,,Georg-Hermann-Allee
119,a,Georg-Hermann-Allee
119,b,Georg-Hermann-Allee
119,c,Georg-Hermann-Allee
119,d,Georg-Hermann-Allee
120,,Georg-Hermann-Allee
121,,Georg-Hermann-Allee
122,,Georg-Hermann-Allee
123,,Georg-Hermann-Allee
124,,Georg-Hermann-Allee
125,,Georg-Hermann-Allee
126,,Georg-Hermann-Allee
127,,Georg-Hermann-Allee
128,,Georg-Hermann-Allee
129,,Georg-Hermann-Allee
130,,Georg-Hermann-Allee
131,,Georg-Hermann-Allee
132,,Georg-Hermann-Allee
132,a,Georg-Hermann-Allee
133,,Georg-Hermann-Allee
134,,Georg-Hermann-Allee
134,a,Georg-Hermann-Allee
135,,Georg-Hermann-Allee
136,,Georg-Hermann-Allee
136,a,Georg-Hermann-Allee
136,b,Georg-Hermann-Allee
137,,Georg-Hermann-Allee
138,,Georg-Hermann-Allee
140,,Georg-Hermann-Allee
140,a,Georg-Hermann-Allee
141,,Georg-Hermann-Allee
142,,Georg-Hermann-Allee
143,,Georg-Hermann-Allee
145,,Georg-Hermann-Allee
1,,Gertrud-Feiertag-Straße
